Vármegye;Település;Cím;Típus;Akadálymentesség;Választópolgárok száma
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem);10 ezer lakos feletti település, nem megyei jogú város;Igen;976
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem);10 ezer lakos feletti település, nem megyei jogú város;Igen;1034
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Erdőalja út 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;955
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Erdőalja út 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;853
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Erdőalja út 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;852
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Erdőalja út 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;976
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Bécsi út 375. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1231
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Bécsi út 375. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1293
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Bécsi út 375. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1350
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Bécsi út 375. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1363
BUDAPEST főváros;Budapest 03. kerület;1037 Budapest 03, Bécsi út 375. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1371
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Ürömi út 2. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;988
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Ürömi út 2. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;1057
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Ürömi út 2. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;779
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Dózsa György utca 42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;765
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Dózsa György utca 42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;922
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Dózsa György utca 42. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1004
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Templom utca 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;944
BUDAPEST főváros;Budapest 03. kerület;1038 Budapest 03, Templom utca 5. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;952
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Mókus utca 1. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;866
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Mókus utca 2. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;969
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Mókus utca 2. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;871
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Solymár utca 12. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Igen;811
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Zápor utca 90. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;820
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Zápor utca 90. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;802
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;947
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Váradi utca 15/B. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;769
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Váradi utca 15/A. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;791
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Váradi utca 15/B. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;721
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, Váradi utca 15/B. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;781
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;973
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;906
BUDAPEST főváros;Budapest 03. kerület;1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;807
