"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 02. kerület","07","057"," Budapest 02, Érmelléki út 12. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","823"
"BUDAPEST főváros","Budapest 02. kerület","02","058"," Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 016"
"BUDAPEST főváros","Budapest 02. kerület","02","059"," Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","830"
"BUDAPEST főváros","Budapest 02. kerület","02","060"," Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","828"
"BUDAPEST főváros","Budapest 02. kerület","03","061"," Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","940"
"BUDAPEST főváros","Budapest 02. kerület","02","062"," Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","666"
"BUDAPEST főváros","Budapest 02. kerület","03","063"," Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","859"
"BUDAPEST főváros","Budapest 02. kerület","03","064"," Budapest 02, Kitaibel Pál u. 10. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","900"
"BUDAPEST főváros","Budapest 02. kerület","04","065"," Budapest 02, Kitaibel Pál u. 10. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","980"
"BUDAPEST főváros","Budapest 02. kerület","05","066"," Budapest 02, Bem J. tér 2. (Gondozási Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 076"
"BUDAPEST főváros","Budapest 02. kerület","01","067"," Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","910"
"BUDAPEST főváros","Budapest 02. kerület","01","068"," Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","896"
"BUDAPEST főváros","Budapest 02. kerület","03","069"," Budapest 02, Kitaibel Pál u. 10. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 033"
"BUDAPEST főváros","Budapest 02. kerület","01","070"," Budapest 02, Kapás u. 55. (Budai Táncklub)","10 ezer lakos feletti település, nem megyei jogú város","Nem","886"
"BUDAPEST főváros","Budapest 02. kerület","01","071"," Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","910"
"BUDAPEST főváros","Budapest 02. kerület","03","072"," Budapest 02, Varsányi I. u. 32. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","982"
"BUDAPEST főváros","Budapest 02. kerület","01","073"," Budapest 02, Varsányi I. u. 32. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Igen","980"
"BUDAPEST főváros","Budapest 02. kerület","11","074","1021 Budapest 02, Labanc u. 2. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","917"
"BUDAPEST főváros","Budapest 02. kerület","02","111","1024 Budapest 02, Keleti K. u. 37. (II. Rákóczi F.Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","0"
"BUDAPEST főváros","Budapest 03. kerület","01","001","1036 Budapest 03, Árpád fejedelem útja 60. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","914"
"BUDAPEST főváros","Budapest 03. kerület","01","002","1036 Budapest 03, Árpád fejedelem útja 60. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","841"
"BUDAPEST főváros","Budapest 03. kerület","01","003","1036 Budapest 03, Mókus utca 2. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 058"
"BUDAPEST főváros","Budapest 03. kerület","01","004","1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 015"
"BUDAPEST főváros","Budapest 03. kerület","03","005","1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","700"
"BUDAPEST főváros","Budapest 03. kerület","03","006","1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 137"
"BUDAPEST főváros","Budapest 03. kerület","03","007","1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","946"
"BUDAPEST főváros","Budapest 03. kerület","03","008","1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","835"
"BUDAPEST főváros","Budapest 03. kerület","03","009","1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","928"
"BUDAPEST főváros","Budapest 03. kerület","04","010","1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Nem","901"
"BUDAPEST főváros","Budapest 03. kerület","04","011","1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem)","10 ezer lakos feletti település, nem megyei jogú város","Igen","989"
"BUDAPEST főváros","Budapest 03. kerület","04","012","1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem)","10 ezer lakos feletti település, nem megyei jogú város","Igen","976"
"BUDAPEST főváros","Budapest 03. kerület","04","013","1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 034"
"BUDAPEST főváros","Budapest 03. kerület","05","014","1037 Budapest 03, Erdőalja út 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","955"
"BUDAPEST főváros","Budapest 03. kerület","08","015","1037 Budapest 03, Erdőalja út 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","853"
"BUDAPEST főváros","Budapest 03. kerület","05","016","1037 Budapest 03, Erdőalja út 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","852"
"BUDAPEST főváros","Budapest 03. kerület","08","017","1037 Budapest 03, Erdőalja út 5. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","976"
"BUDAPEST főváros","Budapest 03. kerület","08","018","1037 Budapest 03, Bécsi út 375. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 231"
"BUDAPEST főváros","Budapest 03. kerület","08","019","1037 Budapest 03, Bécsi út 375. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 293"
"BUDAPEST főváros","Budapest 03. kerület","08","020","1037 Budapest 03, Bécsi út 375. (Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 350"
